feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
hsdR	ResistanceType	No	-1.14929274831147	0.0134360512750805	1.11974618176127e-07	5.56513852335351e-05	CPLM	1.99	6	6	0
yjiY	ResistanceType	No	-1.21119766377222	0.0192269718383947	3.80369307194908e-07	9.45217728379345e-05	CPLM	1.751	6	6	0
yagG	ResistanceType	No	0.971016542332271	0.0178237727757147	6.79623498644182e-07	0.000112590959608719	CPLM	1.01	6	6	0
yagF	ResistanceType	No	1.18718756275351	0.0385424480291718	6.61889649456267e-06	0.000822397889449411	CPLM	1.01	6	6	0
rcsA	ResistanceType	No	0.205208125139343	0.0112450816133948	5.30369994721946e-05	0.00527187774753615	CPLM	1.01	6	6	0
argI	ResistanceType	No	0.19464671233168	0.0120027718392514	8.45978356312861e-05	0.00700752071812486	CPLM	1.01	6	6	0
ydbD	ResistanceType	No	0.895302165700063	0.0601033479954737	0.000118285238598544	0.00734847044793456	CPLM	1.01	6	6	0
yhfZ	ResistanceType	No	0.103971165548702	0.00683167635686296	0.000108695279858728	0.00734847044793456	CPLM	1.01	6	6	0
rpoS	ResistanceType	No	-0.0847122676696066	0.00830039026958081	0.000519352360894393	0.0286797914849459	CPLM	1.99	6	6	0
lipA	ResistanceType	No	-0.143437991243046	0.0152816482012208	0.000717805553220756	0.0344532411787458	CPLM	1.99	6	6	0
yiaB	ResistanceType	No	0.587998318902535	0.0636352659467735	0.000762546585445078	0.0344532411787458	CPLM	1.01	6	6	0
yghA	ResistanceType	No	0.110452383354536	0.0122852994392422	0.00084722276190889	0.0350891427223932	CPLM	1.01	6	6	0
ugd	ResistanceType	No	0.468605570831515	0.0555088779281757	0.00107844855508509	0.0412299178367144	CPLM	1.01	6	6	0
yjbH	ResistanceType	No	0.395027889424506	0.0485812026156436	0.00124435609628305	0.0441746414180484	CPLM	1.01	6	6	0
